Experiment Name,Crossover,Mutation Rate,Mutation,Selection,Survivor Selection,Generation Number,Generation Log File,Best Fitness,Lowest Fitness,Average Fitness,Standard Deviation Fitness,Median Fitness
Combination_Experiment_351,Blend Crossover,0.01,Uniform Mutation,Binary Tournament Selection,Truncation Survivor Selection,100,../RESULTS/Combination_Experiment_351/Results_Gen_100_20231225_202721.txt,2.765204877559985,2.7395034059770436,2.7478309947690245,0.0056229762135442405,2.7470058014647383
Combination_Experiment_13,Single Point Crossover,0.01,Gaussian Mutation,Roulette Wheel Selection,Truncation Survivor Selection,94,../RESULTS/Combination_Experiment_13/Results_Gen_94_20231225_212350.txt,0.2918209504298987,0.29038928897964333,0.29110511970477104,0.0007158307251276808,0.29110511970477104
Combination_Experiment_20,Single Point Crossover,0.01,Gaussian Mutation,Rank Selection,Steady State Selection,47,../RESULTS/Combination_Experiment_20/Results_Gen_47_20231225_233605.txt,0.2918209504298987,0.23728971381649028,0.2711259929910148,0.013075458559347792,0.2699090074758251
Combination_Experiment_17,Single Point Crossover,0.01,Gaussian Mutation,Ternary Tournament Selection,Truncation Survivor Selection,100,../RESULTS/Combination_Experiment_17/Results_Gen_100_20231225_224713.txt,0.2918209504298987,0.28399212989278105,0.2878209819817333,0.0032932997356009126,0.287883663551577
Combination_Experiment_15,Single Point Crossover,0.01,Gaussian Mutation,Binary Tournament Selection,Truncation Survivor Selection,78,../RESULTS/Combination_Experiment_15/Results_Gen_78_20231225_220442.txt,0.2918209504298987,0.29108751597382326,0.291454233201861,0.0003667172280377162,0.291454233201861
Combination_Experiment_49,Single Point Crossover,0.05,Gaussian Mutation,Roulette Wheel Selection,Truncation Survivor Selection,49,../RESULTS/Combination_Experiment_49/Results_Gen_49_20231225_183808.txt,0.29120005009671157,0.2842219831530067,0.28672843202536197,0.0030744390834327715,0.2848962682996696
Combination_Experiment_24,Single Point Crossover,0.01,Gaussian Mutation,Elitism Selection,Steady State Selection,100,../RESULTS/Combination_Experiment_24/Results_Gen_100_20231225_153417.txt,0.29120005009671157,0.2900490369323202,0.2907489769091549,0.0005017694259682205,0.2909978436984329
Combination_Experiment_47,Single Point Crossover,0.05,Creep Mutation,Elitism Selection,Truncation Survivor Selection,85,../RESULTS/Combination_Experiment_47/Results_Gen_85_20231225_171815.txt,0.29120005009671157,0.29079150523971736,0.2910823023126955,0.00012722564923646476,0.29111868824215814
Combination_Experiment_417,Blend Crossover,0.1,Gaussian Mutation,Stochastic Universal Selection,Truncation Survivor Selection,90,../RESULTS/Combination_Experiment_417/Results_Gen_90_20231226_161809.txt,0.2911999504437457,0.28928882255925464,0.2906861077915259,0.0005044120996066022,0.290788296312393
Combination_Experiment_521,Arithmetic Crossover,0.1,Gaussian Mutation,Ternary Tournament Selection,Truncation Survivor Selection,100,../RESULTS/Combination_Experiment_521/Results_Gen_100_20231226_101745.txt,0.29119649888352905,0.29119272237757066,0.29119348392096955,6.740790996096309e-07,0.2911933828234382
