Experiment: Combination_Experiment_440
Generation: 28
Timestamp: 20231226_132740

Genotypes and their Fitness Values:
[0.009955042420070703, 0.4503017763650651, 0.12225760890095287, -0.7843113732981573, 0.25219170854476053, -0.022509671851597524, 0.08434589870848859, -0.003324731617012717, 0.00376570318289631, 8.127798390711703, 10.918849578258751] - Fitness: -1.1292572887166497
[0.009977673902129077, 0.45212498932371653, 0.12227099803340921, -0.7842256832224124, 0.2521935827920651, -0.022237766748107617, 0.08460490083791469, -0.0031603566963763286, 0.003764875536881376, 8.130221300643601, 10.924954924105789] - Fitness: -1.128030595514358
[0.010045803708970975, 0.4496250995376846, 0.1223115214946918, -0.7839775883766237, 0.2521957018240695, -0.022341972909135005, 0.08527288635754221, -0.0031375786465934804, 0.003762334472734054, 8.136827465321696, 10.942946287898874] - Fitness: -1.1279849934314834
[0.010008221282397329, 0.4496053840856151, 0.12228905978519597, -0.7841117146435479, 0.2521963897890891, -0.022267404249221093, 0.08479814513987191, -0.003, 0.003764025166608273, 8.132074403771238, 10.931107730423857] - Fitness: -1.126670462882966
[0.009939942536265102, 0.45060317321039317, 0.12224809987030508, -0.7843737334737892, 0.2521902551704486, -0.023, 0.08414873536722878, -0.003124182559871763, 0.0037664794751099124, 8.12478942014648, 10.901604248118687] - Fitness: -1.1264666557712624
[0.009991847963189589, 0.4502864419545808, 0.12227955692729998, -0.7841724112195994, 0.2521950362368798, -0.022560442549532655, 0.08465897712160902, -0.003147766245006338, 0.0037644882853606243, 8.13108415566967, 10.927827837701912] - Fitness: -1.1275584410665256
[0.010001582473636816, 0.4558606041170523, 0.12228533139860114, -0.7841350711252258, 0.2521949048063114, -0.022280390088081713, 0.08485559271660364, -0.0031496659926625887, 0.0037639414819704443, 8.133063137649861, 10.931856783657665] - Fitness: -1.1277007890532067
[0.009998072155552911, 0.45211854779266136, 0.12228314309196772, -0.7841490642659596, 0.2521947361222098, -0.02252129298021714, 0.08478445945345411, -0.006, 0.003764161390948635, 8.132188537038711, 10.930163800782141] - Fitness: -1.1554030065741505
[0.009970788827000933, 0.44964458071544394, 0.12226696823789329, -0.7842522234419109, 0.2521930769945578, -0.022230768889611244, 0.08455778747079368, -0.003111166884338228, 0.0037650711097702624, 8.129771913465955, 10.923507398929855] - Fitness: -1.127709507618854
[0.009985181351119001, 0.45212930953640273, 0.12227558694558649, -0.7841949019452914, 0.2521942003789329, -0.02250738958421799, 0.08467302293006027, -0.003258091823346005, 0.003764572837592359, 8.13125567950648, 10.92736106961842] - Fitness: -1.128576575375893
[0.009938641935678954, 0.449620489244898, 0.12224734363379293, -0.7843824659597455, 0.25218838332113147, -0.022330757353471557, 0.08418810621463052, -0.0032362928131710136, 0.003766356803039882, 8.12501818406492, 10.913239608666597] - Fitness: -1.1286796960924743
[0.009979558025065453, 0.44964689057450624, 0.12227221119721374, -0.7842206867083718, 0.252193319882142, -0.015, 0.08466092715330491, -0.0030741112562254853, 0.0037647094970424027, 8.130843135699433, 10.92606415832115] - Fitness: -1.1384889708547772
[0.009908085522600687, 0.4496227584179431, 0.12222906530676508, -0.7844950519948759, 0.2521869688050198, -0.022281785449687938, 0.08389154397230006, -0.0032940040529820446, 0.003767502881472007, 8.12202641518999, 10.904991364439308] - Fitness: -1.1292364720078567
[0.009983661303585719, 0.45062697088906356, 0.12227480549835198, -0.7842027595076249, 0.2521943594607752, -0.022706961699688437, 0.08458939311247757, -0.0032216493675095072, 0.0037647198447368, 8.130589031618886, 10.926187891340941] - Fitness: -1.1280032391794879
[0.009974900240537255, 0.4496268604589644, 0.12226913662079092, -0.7842396325197263, 0.2521925231108165, -0.02222598846541024, 0.08456450752640685, -0.003236816399825703, 0.0037650257135033107, 8.12948358808994, 10.923534597297653] - Fitness: -1.1289416796409224
[0.010042795020573028, 0.44962373302841, 0.12230966352766384, -0.783989153590482, 0.25219558232256, -0.022335874121074815, 0.08525022931187715, -0.003136116359561357, 0.003762458210762101, 8.13656690260018, 10.94201269444046] - Fitness: -1.1279725632479565
[0.009995937067390917, 0.45336327963021317, 0.12228197894792424, -0.7841502577719042, 0.25219584262021, -0.022265852925597414, 0.08473170274148831, -0.0032220284295941, 0.0037642948645935656, 8.131983087309674, 10.92967888821663] - Fitness: -1.1285518800215018
[0.009969956496425524, 0.4537785648618534, 0.12226632287960999, -0.7842540080838256, 0.252192761210259, -0.022222465841096467, 0.08450494874365119, -0.003276742700448105, 0.003765194646391163, 8.129204814360314, 10.922610187355264] - Fitness: -1.1290566315265718
[0.009988855660626258, 0.4496296978843468, 0.12227758281626956, -0.7841877740442496, 0.2521928825121696, -0.02225134004569968, 0.08469308885035165, -0.00323316666026947, 0.003764464796171833, 8.130898313610667, 10.927611768737432] - Fitness: -1.1289030967747118
[0.010000087122822708, 0.4537909061755785, 0.1222844533043523, -0.784142585163915, 0.25219453842331113, -0.022279592645248897, 0.08485946398384489, -0.003099777328441726, 0.003763956411842524, 8.133037285155368, 10.931630414806357] - Fitness: -1.1273384365949415
[0.009959124274839795, 0.45063719382938644, 0.12226017348078724, -0.7842954008933303, 0.2521921409993623, -0.022673114567731682, 0.08438067417039728, -0.0033396262821804266, 0.003765529776427257, 8.128398521646908, 10.9202023850455] - Fitness: -1.1291365607630286
[0.009975238771482067, 0.4496261302326377, 0.12226951330562982, -0.7842338640028127, 0.2521941106472692, -0.022226531485466376, 0.08453016291941151, -0.003111166884338228, 0.003765086667778898, 8.129407442907898, 10.923479420257902] - Fitness: -1.1277250495000497
[0.00990580316319899, 0.45110206777278217, 0.12222761991285963, -0.78450474288891, 0.2521871878611283, -0.022100068341231488, 0.08382403048090722, -0.0031862738398076443, 0.003767706629360733, 8.1211469283341, 10.886852506966104] - Fitness: -1.1283378254204168
[0.010010142725822985, 0.4533564543033384, 0.12229017756124916, -0.7841069763231163, 0.2521948150870873, -0.022283151626490284, 0.08491825052612992, -0.003182644874425109, 0.0037637230974377498, 8.133276906378944, 10.933100957948655] - Fitness: -1.1281816385636811
[0.009985443377257779, 0.4496316653046339, 0.12227559299333131, -0.7841974771964986, 0.2518003380594538, -0.02224738483351077, 0.08465396347500208, -0.0032478432852835982, 0.00376460561636339, 8.130708861316705, 10.926809947232492] - Fitness: -1.129165463654408
[0.010024709131972037, 0.44963070944103894, 0.12229908036160221, -0.7840516525978289, 0.2517586476148417, -0.022311690457061883, 0.08504320499532811, -0.0031911303742333296, 0.0037631241300366794, 8.13474909667734, 10.937551559781223] - Fitness: -1.1286317662028316
[0.01000583681261084, 0.45585925015275, 0.12228791143779465, -0.7841164401067222, 0.2521953946254121, -0.022569190984248408, 0.08487419415820903, -0.0032875706260575713, 0.0037638095446331688, 8.133487049665037, 10.932995971075112] - Fitness: -1.1285946377030613
[0.010004573175265031, 0.46, 0.1222870875870988, -0.7841200430478474, 0.252195637572312, -0.02228198497374735, 0.08484785018212118, -0.0032494433211043144, 0.0037639116222262844, 8.133114842638845, 10.932309521360281] - Fitness: -1.1284436456540838
[0.01001174955807255, 0.4496232590379531, 0.12229098665107925, -0.7841077896156181, 0.2521932877501095, -0.022283665969235943, 0.08546741184634338, -0.003183847396599624, 0.003763604054344184, 8.133418066220226, 10.933444491846862] - Fitness: -1.1284398838753422
[0.009953250430871892, 0.4496399609973194, 0.12225648231925239, -0.7843152969089893, 0.25219259121938925, -0.022199282976296565, 0.08435150810577123, -0.003185278140563713, 0.003765794335225981, 8.127629468999004, 10.918393880147265] - Fitness: -1.1284288221094805
[0.00998145848640248, 0.4496212361783181, 0.1222730402555945, -0.7842147908410892, 0.2521933201612725, -0.022233121170095193, 0.08460877758577198, -0.003179860135788642, 0.0037648403082733107, 8.129924635128708, 10.92491757053293] - Fitness: -1.1283955787936584
[0.009953015604114232, 0.45029020164070005, 0.12225632581372409, -0.7843203902753877, 0.2521920048309635, -0.022498384684530505, 0.08429030923984546, -0.0032312335887076044, 0.003765884836264151, 8.127009267135762, 10.91742893982239] - Fitness: -1.1283622474677486
[0.009992386113853554, 0.4558467571656566, 0.12227966420634334, -0.7841701045263947, 0.2521944629321182, -0.02225613501418085, 0.08472714072985182, -0.0032156136003771082, 0.0037644013711841183, 8.131430992526807, 10.928404591565336] - Fitness: -1.1283494101190672
[0.009974105521736335, 0.4496168929141415, 0.12226852913521016, -0.7842451967442157, 0.2521927009718275, -0.0222173600748311, 0.0845460765514478, -0.0031648690192862994, 0.0037651359946208694, 8.12890521735875, 10.92254719687292] - Fitness: -1.1282555373271765
[0.010051821085766868, 0.4496278325562336, 0.12231523742874773, -0.7839544579489071, 0.2521959408270885, -0.022354170485255384, 0.08531820044887231, -0.0031405032206577276, 0.003762086996677959, 8.137348590764727, 10.9448134748157] - Fitness: -1.128009313533913
[0.009986828844669787, 0.4496181231599818, 0.12227629972904078, -0.78419679102148, 0.25219317879837255, -0.02224005287863266, 0.08463749938170852, -0.003139668631964357, 0.0037646464495396737, 8.130109190034727, 10.92619113030107] - Fitness: -1.1280091696156596
[0.0099435006839384, 0.4496116502291473, 0.12225034126256948, -0.7843583464031954, 0.2521913374458952, -0.02216397447421751, 0.08418369867026598, -0.0031391122395021103, 0.003766352751447484, 8.125282922881391, 10.913776233957984] - Fitness: -1.1280085258830272
[0.010036777643777134, 0.44962100000986094, 0.12230594759360791, -0.7840122840181987, 0.25219534331954097, -0.022323676544954433, 0.08520491522054705, -0.003133191785497109, 0.003762705686818196, 8.136045777157149, 10.940145507523635] - Fitness: -1.1279478105716245
[0.010010573466180811, 0.4496173007205071, 0.1222903443624515, -0.7841090979582614, 0.25219432176310275, -0.022278245395897664, 0.08524432294418621, -0.0031225649310664162, 0.0037637444250988804, 8.13297017873723, 10.932665571372528] - Fitness: -1.1278499111526603
[0.009967865760979426, 0.4496438107624232, 0.12226522058478646, -0.784262735686424, 0.2521929960320297, -0.022225521237392132, 0.08452340757662327, -0.003123518760375809, 0.003765191647346215, 8.12941483938813, 10.922655145799423] - Fitness: -1.1278294817376096
[0.009985477441956665, 0.449613056637966, 0.12227537268520544, -0.7842007027106598, 0.2521939305775813, -0.022234041466294433, 0.08463009941425584, -0.0031099126795241998, 0.0037647657186166703, 8.129961612829579, 10.925400708056564] - Fitness: -1.1277267589435274
[0.010008025676890218, 0.449622480604119, 0.12228909475665295, -0.7841114430641425, 0.2521958459554784, -0.022560442549532655, 0.08484437113285948, -0.0031379046333949827, 0.0037638776712623618, 8.132862786344473, 10.932274896513256] - Fitness: -1.1275492036744177
[0.009985173046467889, 0.45031411767879015, 0.12227573932569517, -0.7841999503782466, 0.25219348575781264, -0.022566798655749957, 0.08470041394868229, -0.003147766245006338, 0.0037644649483476707, 8.131630861506757, 10.927869805709843] - Fitness: -1.127535213428815
[0.009969388923321972, 0.44960914377173444, 0.12226582867162007, -0.7842596936993365, 0.2521933583831728, -0.022205346384218942, 0.08442947725810836, -0.003083467343701266, 0.0037654217175117997, 8.127999515237331, 10.920708832544333] - Fitness: -1.127472868962131
[0.010008221282397329, 0.4496053840856151, 0.12228905978519597, -0.7841117146435479, 0.2521963897890891, -0.022267404249221093, 0.08479814513987191, -0.003, 0.003764025166608273, 8.132074403771238, 10.931107730423857] - Fitness: -1.126670462882966
[0.010008221282397329, 0.4496053840856151, 0.12228905978519597, -0.7841117146435479, 0.2521963897890891, -0.022267404249221093, 0.08479814513987191, -0.003, 0.003764025166608273, 8.132074403771238, 10.931107730423857] - Fitness: -1.126670462882966
[0.010008221282397329, 0.4496053840856151, 0.12228905978519597, -0.7841117146435479, 0.2521963897890891, -0.022267404249221093, 0.08479814513987191, -0.003, 0.003764025166608273, 8.132074403771238, 10.931107730423857] - Fitness: -1.126670462882966
[0.010001546365675629, 0.4496330598098245, 0.12228524218359116, -0.7841392538021952, 0.25219483931002196, -0.022273760355438394, 0.08483958196694519, -0.003, 0.003764001829595319, 8.132621109608326, 10.931149698431787] - Fitness: -1.1266475544512835
[0.010003771337916193, 0.44962383456842137, 0.12228651471745944, -0.7841300740826461, 0.25219535613637767, -0.02227164165336596, 0.08482576969125408, -0.003, 0.0037640096085996373, 8.125589329598016, 10.93113570909581] - Fitness: -1.1266459309374486
[0.009997096421194493, 0.44965151029263073, 0.12228269711585463, -0.7841576132412934, 0.25219380565731053, -0.02227799775958326, 0.08486720651832735, -0.003, 0.0037639862715866837, 8.132985580166384, 10.93117767710374] - Fitness: -1.1266319947217882

Detailed Results for Each Genotype:
Genotype [0.009955042420070703, 0.4503017763650651, 0.12225760890095287, -0.7843113732981573, 0.25219170854476053, -0.022509671851597524, 0.08434589870848859, -0.003324731617012717, 0.00376570318289631, 8.127798390711703, 10.918849578258751]:
  Angle -10: cl=118.9561996459961, cd=-121.53568267822266, cm=-20.514413833618164
  Angle -9: cl=117.99876403808594, cd=-119.06831359863281, cm=-19.23731803894043
  Angle -8: cl=117.0414047241211, cd=-116.60098266601562, cm=-17.960285186767578
  Angle -7: cl=116.0840072631836, cd=-114.13363647460938, cm=-16.683223724365234
  Angle -6: cl=115.12664031982422, cd=-111.6662826538086, cm=-15.406179428100586
  Angle -5: cl=114.16924285888672, cd=-109.19889068603516, cm=-14.129091262817383
  Angle -4: cl=113.21188354492188, cd=-106.7315673828125, cm=-12.852036476135254
  Angle -3: cl=112.25445556640625, cd=-104.26420593261719, cm=-11.574984550476074
  Angle -2: cl=111.29712677001953, cd=-101.79689025878906, cm=-10.297911643981934
  Angle -1: cl=110.33968353271484, cd=-99.32952880859375, cm=-9.020896911621094
  Angle 0: cl=109.38233184814453, cd=-96.8621826171875, cm=-7.74380350112915
  Angle 1: cl=108.42491912841797, cd=-94.39480590820312, cm=-6.466750621795654
  Angle 2: cl=107.4675521850586, cd=-91.92745971679688, cm=-5.189686298370361
  Angle 3: cl=106.5101318359375, cd=-89.46011352539062, cm=-3.9126362800598145
  Angle 4: cl=105.55278015136719, cd=-86.99280548095703, cm=-2.6355738639831543
  Angle 5: cl=104.59534454345703, cd=-84.52540588378906, cm=-1.358497142791748
  Angle 6: cl=103.63801574707031, cd=-82.05809020996094, cm=-0.08145575225353241
  Angle 7: cl=102.68060302734375, cd=-79.59069061279297, cm=1.1956162452697754
  Angle 8: cl=101.72322845458984, cd=-77.12335205078125, cm=2.472653865814209
  Angle 9: cl=100.76585388183594, cd=-74.65599060058594, cm=3.7497687339782715
  Angle 10: cl=99.80847930908203, cd=-72.18862915039062, cm=5.026800632476807
Genotype [0.009977673902129077, 0.45212498932371653, 0.12227099803340921, -0.7842256832224124, 0.2521935827920651, -0.022237766748107617, 0.08460490083791469, -0.0031603566963763286, 0.003764875536881376, 8.130221300643601, 10.924954924105789]:
  Angle -10: cl=119.06857299804688, cd=-121.74067687988281, cm=-20.545747756958008
  Angle -9: cl=118.11116790771484, cd=-119.27330017089844, cm=-19.26866340637207
  Angle -8: cl=117.15377807617188, cd=-116.8059310913086, cm=-17.991586685180664
  Angle -7: cl=116.19646453857422, cd=-114.33865356445312, cm=-16.71455192565918
  Angle -6: cl=115.23907470703125, cd=-111.87129211425781, cm=-15.437499046325684
  Angle -5: cl=114.2816390991211, cd=-109.40391540527344, cm=-14.160440444946289
  Angle -4: cl=113.32427215576172, cd=-106.93656921386719, cm=-12.883381843566895
  Angle -3: cl=112.36687469482422, cd=-104.46919250488281, cm=-11.606304168701172
  Angle -2: cl=111.4095230102539, cd=-102.0018539428711, cm=-10.329233169555664
  Angle -1: cl=110.45211029052734, cd=-99.53450775146484, cm=-9.052172660827637
  Angle 0: cl=109.4947280883789, cd=-97.06716918945312, cm=-7.7751545906066895
  Angle 1: cl=108.5373306274414, cd=-94.59978485107422, cm=-6.4980645179748535
  Angle 2: cl=107.57997131347656, cd=-92.13245391845703, cm=-5.2209906578063965
  Angle 3: cl=106.62263488769531, cd=-89.66513061523438, cm=-3.943946361541748
  Angle 4: cl=105.66521453857422, cd=-87.19776916503906, cm=-2.666896343231201
  Angle 5: cl=104.7077865600586, cd=-84.73037719726562, cm=-1.3898110389709473
  Angle 6: cl=103.75039672851562, cd=-82.26309967041016, cm=-0.1127801388502121
  Angle 7: cl=102.7929916381836, cd=-79.7956771850586, cm=1.164299488067627
  Angle 8: cl=101.83565521240234, cd=-77.32839965820312, cm=2.4413390159606934
  Angle 9: cl=100.87824249267578, cd=-74.86100769042969, cm=3.718397617340088
  Angle 10: cl=99.9208755493164, cd=-72.3936538696289, cm=4.99547815322876
Genotype [0.010045803708970975, 0.4496250995376846, 0.1223115214946918, -0.7839775883766237, 0.2521957018240695, -0.022341972909135005, 0.08527288635754221, -0.0031375786465934804, 0.003762334472734054, 8.136827465321696, 10.942946287898874]:
  Angle -10: cl=119.1036376953125, cd=-121.77572631835938, cm=-20.570581436157227
  Angle -9: cl=118.14627075195312, cd=-119.30833435058594, cm=-19.293487548828125
  Angle -8: cl=117.18885803222656, cd=-116.84095764160156, cm=-18.016435623168945
  Angle -7: cl=116.23152923583984, cd=-114.37361907958984, cm=-16.739364624023438
  Angle -6: cl=115.27412414550781, cd=-111.90633392333984, cm=-15.462339401245117
  Angle -5: cl=114.3167495727539, cd=-109.43894958496094, cm=-14.185237884521484
  Angle -4: cl=113.3593521118164, cd=-106.97157287597656, cm=-12.908206939697266
  Angle -3: cl=112.40196990966797, cd=-104.50426483154297, cm=-11.631158828735352
  Angle -2: cl=111.4445571899414, cd=-102.03693389892578, cm=-10.354106903076172
  Angle -1: cl=110.48714447021484, cd=-99.56953430175781, cm=-9.077020645141602
  Angle 0: cl=109.52983093261719, cd=-97.10223388671875, cm=-7.799954891204834
  Angle 1: cl=108.5724105834961, cd=-94.63483428955078, cm=-6.522894382476807
  Angle 2: cl=107.61503601074219, cd=-92.16751098632812, cm=-5.245846271514893
  Angle 3: cl=106.65764617919922, cd=-89.70014190673828, cm=-3.9687790870666504
  Angle 4: cl=105.70024871826172, cd=-87.23280334472656, cm=-2.691737651824951
  Angle 5: cl=104.7429428100586, cd=-84.76545715332031, cm=-1.4146628379821777
  Angle 6: cl=103.7854995727539, cd=-82.29812622070312, cm=-0.13760142028331757
  Angle 7: cl=102.82807159423828, cd=-79.83073425292969, cm=1.1394524574279785
  Angle 8: cl=101.87075805664062, cd=-77.36344146728516, cm=2.416530132293701
  Angle 9: cl=100.9133529663086, cd=-74.89602661132812, cm=3.693573474884033
  Angle 10: cl=99.95598602294922, cd=-72.4286880493164, cm=4.970626354217529
Genotype [0.010008221282397329, 0.4496053840856151, 0.12228905978519597, -0.7841117146435479, 0.2521963897890891, -0.022267404249221093, 0.08479814513987191, -0.003, 0.003764025166608273, 8.132074403771238, 10.931107730423857]:
  Angle -10: cl=118.97383880615234, cd=-121.77375793457031, cm=-20.55367088317871
  Angle -9: cl=118.01648712158203, cd=-119.30641174316406, cm=-19.276599884033203
  Angle -8: cl=117.05907440185547, cd=-116.83904266357422, cm=-17.9995174407959
  Angle -7: cl=116.10173797607422, cd=-114.37174224853516, cm=-16.72247886657715
  Angle -6: cl=115.14434814453125, cd=-111.90438079833984, cm=-15.445391654968262
  Angle -5: cl=114.18689727783203, cd=-109.43697357177734, cm=-14.16833782196045
  Angle -4: cl=113.22952270507812, cd=-106.96966552734375, cm=-12.89128589630127
  Angle -3: cl=112.27216339111328, cd=-104.50230407714844, cm=-11.614222526550293
  Angle -2: cl=111.31476593017578, cd=-102.03496551513672, cm=-10.337185859680176
  Angle -1: cl=110.35738372802734, cd=-99.56764221191406, cm=-9.060120582580566
  Angle 0: cl=109.39998626708984, cd=-97.10028076171875, cm=-7.783055782318115
  Angle 1: cl=108.44263458251953, cd=-94.63291931152344, cm=-6.505998134613037
  Angle 2: cl=107.48519897460938, cd=-92.16551971435547, cm=-5.22893762588501
  Angle 3: cl=106.52788543701172, cd=-89.6982192993164, cm=-3.9518532752990723
  Angle 4: cl=105.5704345703125, cd=-87.23085021972656, cm=-2.6747984886169434
  Angle 5: cl=104.61312103271484, cd=-84.76350402832031, cm=-1.3977360725402832
  Angle 6: cl=103.65569305419922, cd=-82.29613494873047, cm=-0.12069468200206757
  Angle 7: cl=102.69831085205078, cd=-79.8288345336914, cm=1.1563620567321777
  Angle 8: cl=101.74087524414062, cd=-77.3614501953125, cm=2.433403491973877
  Angle 9: cl=100.78350830078125, cd=-74.89413452148438, cm=3.7104649543762207
  Angle 10: cl=99.82617950439453, cd=-72.42677307128906, cm=4.987538814544678
Genotype [0.009939942536265102, 0.45060317321039317, 0.12224809987030508, -0.7843737334737892, 0.2521902551704486, -0.023, 0.08414873536722878, -0.003124182559871763, 0.0037664794751099124, 8.12478942014648, 10.901604248118687]:
  Angle -10: cl=118.67317962646484, cd=-121.52447509765625, cm=-20.47749900817871
  Angle -9: cl=117.7158203125, cd=-119.05713653564453, cm=-19.200454711914062
  Angle -8: cl=116.75841522216797, cd=-116.58970642089844, cm=-17.92335319519043
  Angle -7: cl=115.801025390625, cd=-114.12236785888672, cm=-16.646299362182617
  Angle -6: cl=114.84365844726562, cd=-111.65504455566406, cm=-15.369254112243652
  Angle -5: cl=113.88626861572266, cd=-109.18765258789062, cm=-14.092177391052246
  Angle -4: cl=112.92888641357422, cd=-106.72030639648438, cm=-12.815108299255371
  Angle -3: cl=111.97151947021484, cd=-104.25297546386719, cm=-11.53804874420166
  Angle -2: cl=111.0141372680664, cd=-101.78562927246094, cm=-10.260992050170898
  Angle -1: cl=110.0567398071289, cd=-99.31824493408203, cm=-8.983935356140137
  Angle 0: cl=109.0993423461914, cd=-96.8509292602539, cm=-7.706873416900635
  Angle 1: cl=108.14197540283203, cd=-94.38359832763672, cm=-6.429829120635986
  Angle 2: cl=107.18458557128906, cd=-91.91622924804688, cm=-5.15275239944458
  Angle 3: cl=106.2271957397461, cd=-89.44886016845703, cm=-3.875697612762451
  Angle 4: cl=105.26980590820312, cd=-86.98149871826172, cm=-2.598628520965576
  Angle 5: cl=104.3124008178711, cd=-84.51414489746094, cm=-1.3215880393981934
  Angle 6: cl=103.35504913330078, cd=-82.04682159423828, cm=-0.044530436396598816
  Angle 7: cl=102.3976058959961, cd=-79.57943725585938, cm=1.2325329780578613
  Angle 8: cl=101.44026947021484, cd=-77.11212921142578, cm=2.5095953941345215
  Angle 9: cl=100.48286437988281, cd=-74.64473724365234, cm=3.7866806983947754
  Angle 10: cl=99.52549743652344, cd=-72.17740631103516, cm=5.063717365264893
Genotype [0.009991847963189589, 0.4502864419545808, 0.12227955692729998, -0.7841724112195994, 0.2521950362368798, -0.022560442549532655, 0.08465897712160902, -0.003147766245006338, 0.0037644882853606243, 8.13108415566967, 10.927827837701912]:
  Angle -10: cl=118.9355697631836, cd=-121.6633529663086, cm=-20.530405044555664
  Angle -9: cl=117.97823333740234, cd=-119.19603729248047, cm=-19.253374099731445
  Angle -8: cl=117.02081298828125, cd=-116.7286605834961, cm=-17.976295471191406
  Angle -7: cl=116.0633773803711, cd=-114.26128387451172, cm=-16.699228286743164
  Angle -6: cl=115.10604095458984, cd=-111.7939682006836, cm=-15.422189712524414
  Angle -5: cl=114.14864349365234, cd=-109.32659912109375, cm=-14.145094871520996
  Angle -4: cl=113.1912612915039, cd=-106.85923767089844, cm=-12.868048667907715
  Angle -3: cl=112.23384094238281, cd=-104.3918228149414, cm=-11.590956687927246
  Angle -2: cl=111.27647399902344, cd=-101.92457580566406, cm=-10.313953399658203
  Angle -1: cl=110.3191146850586, cd=-99.45719909667969, cm=-9.036867141723633
  Angle 0: cl=109.3617172241211, cd=-96.9898452758789, cm=-7.759805202484131
  Angle 1: cl=108.40428924560547, cd=-94.5224380493164, cm=-6.482753276824951
  Angle 2: cl=107.44693756103516, cd=-92.05513000488281, cm=-5.205678462982178
  Angle 3: cl=106.48956298828125, cd=-89.58777618408203, cm=-3.9286303520202637
  Angle 4: cl=105.53219604492188, cd=-87.12045288085938, cm=-2.6515727043151855
  Angle 5: cl=104.57473754882812, cd=-84.65304565429688, cm=-1.3744940757751465
  Angle 6: cl=103.61740112304688, cd=-82.18575286865234, cm=-0.0974450558423996
  Angle 7: cl=102.65998077392578, cd=-79.71835327148438, cm=1.1796069145202637
  Angle 8: cl=101.70264434814453, cd=-77.25104522705078, cm=2.4566493034362793
  Angle 9: cl=100.7452163696289, cd=-74.78369140625, cm=3.73372220993042
  Angle 10: cl=99.7878189086914, cd=-72.31632232666016, cm=5.010779857635498
Genotype [0.010001582473636816, 0.4558606041170523, 0.12228533139860114, -0.7841350711252258, 0.2521949048063114, -0.022280390088081713, 0.08485559271660364, -0.0031496659926625887, 0.0037639414819704443, 8.133063137649861, 10.931856783657665]:
  Angle -10: cl=119.20330047607422, cd=-121.88850402832031, cm=-20.5627384185791
  Angle -9: cl=118.24590301513672, cd=-119.42118072509766, cm=-19.285703659057617
  Angle -8: cl=117.28851318359375, cd=-116.95381164550781, cm=-18.008647918701172
  Angle -7: cl=116.33116912841797, cd=-114.48649597167969, cm=-16.731569290161133
  Angle -6: cl=115.37378692626953, cd=-112.01913452148438, cm=-15.454519271850586
  Angle -5: cl=114.41638946533203, cd=-109.5517578125, cm=-14.17745304107666
  Angle -4: cl=113.4589614868164, cd=-107.08439636230469, cm=-12.900398254394531
  Angle -3: cl=112.50163269042969, cd=-104.6170883178711, cm=-11.623345375061035
  Angle -2: cl=111.54425811767578, cd=-102.14974212646484, cm=-10.346274375915527
  Angle -1: cl=110.58683013916016, cd=-99.682373046875, cm=-9.069225311279297
