Experiment: Combination_Experiment_493
Generation: 69
Timestamp: 20231226_163442

Genotypes and their Fitness Values:
[0.010889820089202718, 0.437466647104916, 0.12978136091301157, -0.8712356498431747, 0.25940686840046984, -0.022869552220123338, 0.06586723298104424, -0.003017299701553457, 0.002899607311579045, 8.199832370016761, 10.91940310195707] - Fitness: -1.1181349817732051
[0.011315578547048637, 0.437570706055273, 0.12975796556721733, -0.8659895667935426, 0.2593548428235684, -0.02285072135628402, 0.06572411144511371, -0.0030171353138479483, 0.002960004908235207, 8.107839143897856, 10.390551320283771] - Fitness: -1.1181363475274053
[0.011283890661986573, 0.43738148292400125, 0.13, -0.8691027922336488, 0.2596167956105859, -0.022833406843518825, 0.06580592955654332, -0.003016070073879885, 0.0028137326739147077, 8.180054310740172, 10.707148055986064] - Fitness: -1.118195695971134
[0.011281197073568755, 0.43736206175150105, 0.12967373049136174, -0.8712812075745648, 0.2593613260176432, -0.022853211080893054, 0.06587520945362299, -0.003018209725986668, 0.00274458352101181, 8.170095594206707, 10.62699798094631] - Fitness: -1.1182486576134725
[0.010916599027785951, 0.43883295132397737, 0.12969137733602032, -0.8687412018678602, 0.25952510854474237, -0.022808664855208095, 0.06357874340307464, -0.0030179017038050233, 0.0030116310123122904, 8.159954269776676, 10.883570362477666] - Fitness: -1.1182869432766624
[0.010978911103943204, 0.4373034561189194, 0.12974621271764208, -0.8735681395172858, 0.259439890818307, -0.02279692233695007, 0.06591762091682146, -0.0030175699926105574, 0.002838809369886731, 8.20116701392278, 10.914486005158963] - Fitness: -1.118332658267751
[0.01128523745619548, 0.43739119351025135, 0.1298694921965447, -0.8680135845631908, 0.2597445304070573, -0.022823504724831717, 0.0657712896080035, -0.003015000247826493, 0.0028483072503661566, 8.185033669006904, 10.74722309350594] - Fitness: -1.1184153544182471
[0.011098590357707699, 0.4391307987256573, 0.12989174035949932, -0.8656753221605543, 0.2594832690451514, -0.022862863401941755, 0.06595520443990618, -0.0030099473694441153, 0.003002373365853863, 8.162606052719319, 10.921277656955095] - Fitness: -1.1184234383962852
[0.011300376438448025, 0.43749822309788966, 0.1297575979644438, -0.8680876742137849, 0.25936642147566263, -0.022827967754240817, 0.06057276547525453, -0.0030172859902638277, 0.002924463336294186, 8.132979102135764, 10.606548413124507] - Fitness: -1.1184447743450332
[0.011179490891277948, 0.43721231894536366, 0.12974526977072437, -0.8667486648153591, 0.2593105337524645, -0.02286663419819578, 0.06568270540320273, -0.003017737978135508, 0.0029871282872855386, 8.14274697344866, 10.648212827799526] - Fitness: -1.1184453724533847
[0.011296049736711014, 0.43741426562398944, 0.1297200574448345, -0.8648537565937928, 0.2596167956105859, -0.02284539247936982, 0.06582223702939938, -0.003017723357510384, 0.0028279185374483363, 8.180221076499201, 10.698756512259786] - Fitness: -1.1184704118672282
[0.011318381039704527, 0.4375917252045836, 0.1298104960920038, -0.8662006463961227, 0.25945608549205224, -0.022877424888787277, 0.06616133341132291, -0.003017044208221401, 0.0029703391192057345, 8.143149373038174, 10.60085703271966] - Fitness: -1.1184722833341438
[0.011288817087701407, 0.4372064237158847, 0.12981690778005356, -0.8669122659361485, 0.25933182087779993, -0.022764825628323562, 0.06579616804413468, -0.003010262028763758, 0.002698360800410188, 8.12262911784673, 10.874915451327649] - Fitness: -1.1185111201885727
[0.011281218221235269, 0.43732269087992814, 0.1297610659083483, -0.871380677229851, 0.25953636317286266, -0.02285467160852007, 0.0665156649128874, -0.0030178925820340307, 0.0028011897668870243, 8.182140269779335, 10.778394048506636] - Fitness: -1.1185175597992578
[0.011287931044613298, 0.43741061468275155, 0.13, -0.8658351692222748, 0.26, -0.022803700487457487, 0.06570200971092385, -0.0030128605957197097, 0.002917456403269054, 8.194992385540369, 10.827373168545694] - Fitness: -1.1185261009833185
[0.010969503085015752, 0.43696284042643385, 0.12991980399466901, -0.8687204551409727, 0.25919730107498384, -0.02280416515889759, 0.06578352126432936, -0.0030179568528714866, 0.0030189130835037003, 8.028475409732566, 10.99909789733335] - Fitness: -1.1185313902474536
[0.011111447063392604, 0.437033125390409, 0.12973892187247787, -0.8671282138262675, 0.2592883792169125, -0.022874590619151657, 0.06566200238224724, -0.0030180393102792876, 0.002968802995407137, 8.160200888224063, 10.777043581557402] - Fitness: -1.1185395424767133
[0.01130685596843153, 0.43740558929897577, 0.12987162861216134, -0.8666592444459675, 0.25957763582698146, -0.023, 0.06672397980937998, -0.003014293870477148, 0.002860239753770346, 8.166405967551057, 10.895879033101219] - Fitness: -1.1185404278970814
[0.011294739001040149, 0.4373468606788705, 0.12974684882394527, -0.8691953849229908, 0.2593572991809465, -0.022853724200460415, 0.06025578645596282, -0.0030177394178991946, 0.0028201743145009925, 8.176882339251351, 10.749789058503247] - Fitness: -1.1185405763373883
[0.011316651023059638, 0.43756333941825276, 0.12975561158527768, -0.8617425033815449, 0.2596006733701186, -0.023, 0.06571945756913092, -0.0030131314067380665, 0.0029452205538106, 8.194565478665751, 10.743611405980396] - Fitness: -1.1185511625552964
[0.010977490425414687, 0.43705196898355153, 0.12973821806097918, -0.8712958084496052, 0.2593615625493076, -0.022834354786595408, 0.06579881108622737, -0.0030179987853930735, 0.002914410964276453, 8.198743695463616, 10.962573638724642] - Fitness: -1.1185630083945224
[0.01130347606828214, 0.43744036756023363, 0.12974322092157092, -0.8616400311034068, 0.2597445304070573, -0.022841483178608207, 0.06579575081728758, -0.003017480173272242, 0.0028695860456665993, 8.185283817645448, 10.734635777916525] - Fitness: -1.118581207144592
[0.01129277538414772, 0.4374619816191981, 0.12975741416305706, -0.869136727923906, 0.2593722108017097, -0.022816590953219213, 0.05799709249032495, -0.0030173613284717672, 0.0029066925503236757, 8.14554908125472, 10.714546959544874] - Fitness: -1.118599595454197
[0.011301552630374074, 0.4382600059730129, 0.12982235905147826, -0.8669049643059583, 0.2596265920244159, -0.022882727398086077, 0.07160328074186112, -0.0030155855959808015, 0.002951373646659942, 7.947259869000646, 10.922171631333335] - Fitness: -1.1186229637217897
[0.011319782286032472, 0.437602234779239, 0.129836761354397, -0.8663061861974128, 0.2595067068262941, -0.022890776655038903, 0.06637994439442751, -0.003016998655408127, 0.0029755062246909977, 8.160804487608331, 10.706009888937604] - Fitness: -1.1186405196718634
[0.011296579626553041, 0.44222905702915677, 0.12970393175246375, -0.8669672753968647, 0.2593776533740265, -0.02286801875189052, 0.06572931934986298, -0.0030146261837458712, 0.0029374012379116852, 8.19289530506476, 10.868685619379857] - Fitness: -1.1186448625466825
[0.011281228795068526, 0.4373030054441417, 0.12980473361684158, -0.871430412057494, 0.2596238817504724, -0.02285540187233358, 0.06683589264251961, -0.0030177340100577127, 0.002829492889824632, 8.18816260756565, 10.8540920822868] - Fitness: -1.1186521692496227
[0.011077833076926578, 0.4369956880950274, 0.13, -0.8675530370356632, 0.25926191510582014, -0.02288443886654517, 0.06521365826488508, -0.003017828616415104, 0.0029507566024332427, 8.17978135284307, 11.020742386473184] - Fitness: -1.118669359139779
[0.011110916270697315, 0.43741578834912076, 0.12970216860227432, -0.8706997000194008, 0.2593722058989517, -0.022837635336410117, 0.07552279103816376, -0.0030178804545540087, 0.002797874782719612, 8.17922160101402, 10.963156968498957] - Fitness: -1.118672734650143
[0.010976780086150429, 0.43692622541586756, 0.12973422073264776, -0.8701596429157648, 0.2593223984148079, -0.022853071011418077, 0.06573940617093034, -0.003018213181784331, 0.0029522117614713137, 8.197532036234033, 10.986617455507478] - Fitness: -1.1186783248015941
[0.011300843008188156, 0.43733920077127875, 0.1298533883347921, -0.8667435849426944, 0.25949569751058765, -0.022806421092225457, 0.06641470922096489, -0.0030129499232393513, 0.002806280102650293, 8.151813684316283, 10.888891172510029] - Fitness: -1.1186842207331458
[0.011301509964775844, 0.4373392601425552, 0.12978340799023702, -0.8681524735972037, 0.2593552857625982, -0.022853980760244096, 0.057446074957132734, -0.0030175042638554577, 0.002857969711245584, 8.180275711773675, 10.811184597281713] - Fitness: -1.118686274498622
[0.011176918854074371, 0.4374719544642215, 0.12968014654459045, -0.8872911072541644, 0.25933836343927413, -0.02285799183614014, 0.06582167860739345, -0.003018035685525734, 0.002777407489136052, 8.16824889455964, 10.98749245016895] - Fitness: -1.1186963505047174
[0.011197697608711343, 0.43711068386489177, 0.13, -0.8664670899958234, 0.25943628678988184, -0.022812607414589105, 0.06612490230713262, -0.0030153093064539563, 0.002945146488420273, 8.186690276481876, 10.886511534696723] - Fitness: -1.1186980990583644
[0.01129149655700631, 0.4372888717130108, 0.1296716842200847, -0.8654922501534723, 0.2593672333219761, -0.02273789328923407, 0.06569364419256896, -0.003017594124499119, 0.0029077434412165307, 8.193306880011377, 10.597540340605217] - Fitness: -1.1187167565815739
[0.011055624753661356, 0.437019175780483, 0.12979992647441138, -0.8696124871069096, 0.2593405427742719, -0.022822224401190506, 0.06577016232462576, -0.0030178195829771437, 0.0029172913461555333, 8.197304595268992, 10.969550641849134] - Fitness: -1.1187181777870445
[0.011278496091057395, 0.43715202458548574, 0.12983923392931251, -0.8672917147309934, 0.2593005875910909, -0.022761164650798082, 0.0658234110542521, -0.003006841352509172, 0.0029528055525059552, 7.903987398756438, 10.926686442448737] - Fitness: -1.1187419611343434
[0.011303403328147645, 0.44031331688626957, 0.12979721447072876, -0.8770593543795098, 0.2595225440427146, -0.02287849042342663, 0.06638488688821012, -0.0030155761671070355, 0.0029484387195330194, 8.19329414425059, 10.907220963137785] - Fitness: -1.1187571866468302
[0.011315532550816465, 0.4376105180752733, 0.12973298739210035, -0.8660957855541516, 0.25933445561686436, -0.022826004490892157, 0.06570391035317555, -0.0030105564746994717, 0.0029400868816155824, 8.194002931150958, 10.701756137147326] - Fitness: -1.118763614394873
[0.011317210259181226, 0.43753975008974255, 0.12976692368186635, -0.8595658622952416, 0.25973378224674576, -0.022830600542607847, 0.0657272311771086, -0.0030144188727573634, 0.002947787389908108, 8.19484675242315, 10.764539040396931] - Fitness: -1.1187864387685074
[0.011304039132284591, 0.4393437676493841, 0.1298815727009855, -0.866873808760505, 0.2597510613496106, -0.022890081721183862, 0.0673474966287711, -0.0030160653020982675, 0.0029583598510340694, 8.195051899948004, 10.948914637310072] - Fitness: -1.1187998178726832
[0.0113183287314244, 0.437492571432722, 0.12978954787504368, -0.8552125801226348, 0.26, -0.022833664577084974, 0.06574277839306397, -0.003016993804795958, 0.0029529210621031254, 8.195409299937943, 10.80639430923] - Fitness: -1.1188019832422391
[0.011130721835016098, 0.43724746180764884, 0.12963475860366297, -0.8674761694428138, 0.25935040470940585, -0.022779520584879316, 0.06292377901496377, -0.003013825653987939, 0.0028810196732867253, 8.143812083375915, 10.944867689640493] - Fitness: -1.1188104060121673
[0.011308924020828483, 0.43758428669442284, 0.1296361024292227, -0.866397040772573, 0.2592706785199189, -0.02289870483560019, 0.06575771706777478, -0.003, 0.002736472901968933, 8.14630348165088, 11.036163413508945] - Fitness: -1.1188115055391483
[0.011030053537088639, 0.4371139358932951, 0.1297820218888216, -0.8709310379103684, 0.25937365878895025, -0.02281379037977703, 0.065819315188691, -0.003017736386188282, 0.002891130687399266, 8.198592068153587, 11.078021357932531] - Fitness: -1.1188176937764935
[0.011301015909576169, 0.4374404973314666, 0.12993724308115767, -0.866559751802566, 0.26, -0.02286474564281102, 0.06682709688475064, -0.0030170583064219915, 0.0029680622492379086, 8.187409788279275, 10.924286244627162] - Fitness: -1.1188271863412684
[0.011290444014137088, 0.43723163826052003, 0.1298040091189521, -0.8685082673426887, 0.25936151834183074, -0.023, 0.06267660426300628, -0.0030177053521795827, 0.002910208232202732, 8.195932739709411, 10.929808839959788] - Fitness: -1.118833009232594
[0.011296264593793633, 0.43935611601755464, 0.12973411237149227, -0.8694159983910374, 0.259397773906818, -0.022828946469361566, 0.06580215215536592, -0.003016261938718983, 0.0029028640931898944, 8.196473305644272, 10.867475832178263] - Fitness: -1.1188356412573959
[0.011306815178944947, 0.43935544681482597, 0.12984385582986124, -0.8667154023687227, 0.25959498937705855, -0.022883726259194687, 0.0667126706573837, -0.0030160511587876172, 0.002953957460343687, 8.193493563843505, 10.926488635016746] - Fitness: -1.118837555873161
[0.011307551217034528, 0.43747676127451895, 0.12972920511817312, -0.8658237945801859, 0.2593589729897043, -0.022813112000600703, 0.06571395569426546, -0.0030172882507316715, 0.0029425844192289816, 8.19433003787388, 10.702094432141845] - Fitness: -1.1188388546462158

Detailed Results for Each Genotype:
Genotype [0.010889820089202718, 0.437466647104916, 0.12978136091301157, -0.8712356498431747, 0.25940686840046984, -0.022869552220123338, 0.06586723298104424, -0.003017299701553457, 0.002899607311579045, 8.199832370016761, 10.91940310195707]:
  Angle -10: cl=122.9958724975586, cd=-126.11214447021484, cm=-21.397165298461914
  Angle -9: cl=122.03844451904297, cd=-123.64469146728516, cm=-20.120031356811523
  Angle -8: cl=121.08113861083984, cd=-121.1773910522461, cm=-18.84298324584961
  Angle -7: cl=120.12369537353516, cd=-118.7099838256836, cm=-17.565908432006836
  Angle -6: cl=119.16631317138672, cd=-116.24268341064453, cm=-16.288877487182617
  Angle -5: cl=118.20896911621094, cd=-113.77536010742188, cm=-15.011813163757324
  Angle -4: cl=117.25154876708984, cd=-111.30802917480469, cm=-13.734766960144043
  Angle -3: cl=116.2941665649414, cd=-108.84063720703125, cm=-12.457688331604004
  Angle -2: cl=115.3367919921875, cd=-106.37327575683594, cm=-11.180633544921875
  Angle -1: cl=114.37940979003906, cd=-103.9059066772461, cm=-9.903559684753418
  Angle 0: cl=113.4220199584961, cd=-101.43856048583984, cm=-8.626493453979492
  Angle 1: cl=112.4646224975586, cd=-98.97119903564453, cm=-7.349437236785889
  Angle 2: cl=111.50724029541016, cd=-96.50386810302734, cm=-6.072390079498291
  Angle 3: cl=110.54987335205078, cd=-94.03653717041016, cm=-4.795350551605225
  Angle 4: cl=109.59247589111328, cd=-91.5691909790039, cm=-3.518272876739502
  Angle 5: cl=108.63507080078125, cd=-89.101806640625, cm=-2.2412047386169434
  Angle 6: cl=107.67768096923828, cd=-86.63446044921875, cm=-0.9641500115394592
  Angle 7: cl=106.72034454345703, cd=-84.16712951660156, cm=0.31292861700057983
  Angle 8: cl=105.76290130615234, cd=-81.69976806640625, cm=1.589963436126709
  Angle 9: cl=104.80554962158203, cd=-79.232421875, cm=2.867027759552002
  Angle 10: cl=103.84812927246094, cd=-76.76506042480469, cm=4.144073963165283
Genotype [0.011315578547048637, 0.437570706055273, 0.12975796556721733, -0.8659895667935426, 0.2593548428235684, -0.02285072135628402, 0.06572411144511371, -0.0030171353138479483, 0.002960004908235207, 8.107839143897856, 10.390551320283771]:
  Angle -10: cl=123.68433380126953, cd=-126.72769927978516, cm=-21.564210891723633
  Angle -9: cl=122.7269058227539, cd=-124.2602767944336, cm=-20.287120819091797
  Angle -8: cl=121.76952362060547, cd=-121.79295349121094, cm=-19.01005744934082
  Angle -7: cl=120.8121566772461, cd=-119.32557678222656, cm=-17.732995986938477
  Angle -6: cl=119.8547592163086, cd=-116.8582534790039, cm=-16.45594596862793
  Angle -5: cl=118.89737701416016, cd=-114.39088439941406, cm=-15.178888320922852
  Angle -4: cl=117.94000244140625, cd=-111.92357635498047, cm=-13.901856422424316
  Angle -3: cl=116.98260498046875, cd=-109.4561996459961, cm=-12.624780654907227
  Angle -2: cl=116.02523803710938, cd=-106.98884582519531, cm=-11.347707748413086
  Angle -1: cl=115.0678482055664, cd=-104.52149200439453, cm=-10.070639610290527
  Angle 0: cl=114.11040496826172, cd=-102.05415344238281, cm=-8.793635368347168
  Angle 1: cl=113.15304565429688, cd=-99.58678436279297, cm=-7.516539096832275
  Angle 2: cl=112.19567108154297, cd=-97.11944580078125, cm=-6.239474773406982
  Angle 3: cl=111.23827362060547, cd=-94.65206909179688, cm=-4.962425708770752
  Angle 4: cl=110.28087615966797, cd=-92.18476104736328, cm=-3.685363292694092
  Angle 5: cl=109.323486328125, cd=-89.71736907958984, cm=-2.4082751274108887
  Angle 6: cl=108.36609649658203, cd=-87.25006103515625, cm=-1.1312365531921387
  Angle 7: cl=107.40876770019531, cd=-84.78269958496094, cm=0.14580483734607697
  Angle 8: cl=106.45137786865234, cd=-82.31533813476562, cm=1.4228720664978027
  Angle 9: cl=105.49396514892578, cd=-79.84799194335938, cm=2.6999354362487793
  Angle 10: cl=104.53661346435547, cd=-77.38069915771484, cm=3.9769749641418457
Genotype [0.011283890661986573, 0.43738148292400125, 0.13, -0.8691027922336488, 0.2596167956105859, -0.022833406843518825, 0.06580592955654332, -0.003016070073879885, 0.0028137326739147077, 8.180054310740172, 10.707148055986064]:
  Angle -10: cl=123.66857147216797, cd=-126.70816802978516, cm=-21.557886123657227
  Angle -9: cl=122.71121978759766, cd=-124.24083709716797, cm=-20.28083610534668
  Angle -8: cl=121.7538833618164, cd=-121.77351379394531, cm=-19.00376319885254
  Angle -7: cl=120.79642486572266, cd=-119.30610656738281, cm=-17.72669219970703
  Angle -6: cl=119.83903503417969, cd=-116.83873748779297, cm=-16.449609756469727
  Angle -5: cl=118.88164520263672, cd=-114.37139892578125, cm=-15.172584533691406
  Angle -4: cl=117.92430114746094, cd=-111.90408325195312, cm=-13.895523071289062
  Angle -3: cl=116.96691131591797, cd=-109.43673706054688, cm=-12.61845588684082
  Angle -2: cl=116.0094985961914, cd=-106.9693832397461, cm=-11.34140396118164
  Angle -1: cl=115.05213165283203, cd=-104.50200653076172, cm=-10.064326286315918
  Angle 0: cl=114.09471893310547, cd=-102.03466796875, cm=-8.78726863861084
  Angle 1: cl=113.13736724853516, cd=-99.56730651855469, cm=-7.510225772857666
  Angle 2: cl=112.17998504638672, cd=-97.0999526977539, cm=-6.2331461906433105
  Angle 3: cl=111.22257232666016, cd=-94.63260650634766, cm=-4.956094264984131
  Angle 4: cl=110.2651596069336, cd=-92.16527557373047, cm=-3.6790661811828613
  Angle 5: cl=109.30782318115234, cd=-89.69792175292969, cm=-2.4019808769226074
  Angle 6: cl=108.35042572021484, cd=-87.23056030273438, cm=-1.1249146461486816
  Angle 7: cl=107.39305877685547, cd=-84.76322937011719, cm=0.15213723480701447
  Angle 8: cl=106.43563079833984, cd=-82.29586791992188, cm=1.429182529449463
  Angle 9: cl=105.47823333740234, cd=-79.82847595214844, cm=2.7062697410583496
  Angle 10: cl=104.52081298828125, cd=-77.36111450195312, cm=3.9833168983459473
Genotype [0.011281197073568755, 0.43736206175150105, 0.12967373049136174, -0.8712812075745648, 0.2593613260176432, -0.022853211080893054, 0.06587520945362299, -0.003018209725986668, 0.00274458352101181, 8.170095594206707, 10.62699798094631]:
  Angle -10: cl=123.42353057861328, cd=-126.48423767089844, cm=-21.511484146118164
  Angle -9: cl=122.46620178222656, cd=-124.01688385009766, cm=-20.2343807220459
  Angle -8: cl=121.5087661743164, cd=-121.54955291748047, cm=-18.95733070373535
  Angle -7: cl=120.5513687133789, cd=-119.08212280273438, cm=-17.680261611938477
  Angle -6: cl=119.5940170288086, cd=-116.61483001708984, cm=-16.403226852416992
  Angle -5: cl=118.63660430908203, cd=-114.14745330810547, cm=-15.126132011413574
  Angle -4: cl=117.67925262451172, cd=-111.68014526367188, cm=-13.849093437194824
  Angle -3: cl=116.72185516357422, cd=-109.21275329589844, cm=-12.572011947631836
  Angle -2: cl=115.76445770263672, cd=-106.74542999267578, cm=-11.295002937316895
  Angle -1: cl=114.80706024169922, cd=-104.27808380126953, cm=-10.017923355102539
  Angle 0: cl=113.84967803955078, cd=-101.81071472167969, cm=-8.740872383117676
  Angle 1: cl=112.8923568725586, cd=-99.3433837890625, cm=-7.463802814483643
  Angle 2: cl=111.93492126464844, cd=-96.87600708007812, cm=-6.186726093292236
  Angle 3: cl=110.97753143310547, cd=-94.40867614746094, cm=-4.909657955169678
  Angle 4: cl=110.02017974853516, cd=-91.94131469726562, cm=-3.632603168487549
  Angle 5: cl=109.06282806396484, cd=-89.4739990234375, cm=-2.355569362640381
  Angle 6: cl=108.10533905029297, cd=-87.00659942626953, cm=-1.078477382659912
  Angle 7: cl=107.14795684814453, cd=-84.53921508789062, cm=0.19856210052967072
  Angle 8: cl=106.1906509399414, cd=-82.07191467285156, cm=1.4756169319152832
  Angle 9: cl=105.23319244384766, cd=-79.60450744628906, cm=2.7527079582214355
  Angle 10: cl=104.27581024169922, cd=-77.13717651367188, cm=4.029781818389893
Genotype [0.010916599027785951, 0.43883295132397737, 0.12969137733602032, -0.8687412018678602, 0.25952510854474237, -0.022808664855208095, 0.06357874340307464, -0.0030179017038050233, 0.0030116310123122904, 8.159954269776676, 10.883570362477666]:
  Angle -10: cl=123.1026611328125, cd=-126.19378662109375, cm=-21.414045333862305
  Angle -9: cl=122.14522552490234, cd=-123.72637176513672, cm=-20.1369686126709
  Angle -8: cl=121.18785858154297, cd=-121.25906372070312, cm=-18.859899520874023
  Angle -7: cl=120.2304916381836, cd=-118.79171752929688, cm=-17.58286476135254
  Angle -6: cl=119.2730712890625, cd=-116.32438659667969, cm=-16.305818557739258
  Angle -5: cl=118.3156967163086, cd=-113.8570327758789, cm=-15.028721809387207
  Angle -4: cl=117.35832214355469, cd=-111.38970184326172, cm=-13.751705169677734
  Angle -3: cl=116.40090942382812, cd=-108.92227935791016, cm=-12.474591255187988
  Angle -2: cl=115.44355010986328, cd=-106.45497131347656, cm=-11.197549819946289
  Angle -1: cl=114.48616790771484, cd=-103.98762512207031, cm=-9.920517921447754
  Angle 0: cl=113.52873992919922, cd=-101.52021789550781, cm=-8.643430709838867
  Angle 1: cl=112.5713882446289, cd=-99.05289459228516, cm=-7.366379261016846
  Angle 2: cl=111.614013671875, cd=-96.5855941772461, cm=-6.089332103729248
  Angle 3: cl=110.65662384033203, cd=-94.11822509765625, cm=-4.812265872955322
  Angle 4: cl=109.69920349121094, cd=-91.65083312988281, cm=-3.535165309906006
  Angle 5: cl=108.74183654785156, cd=-89.18351745605469, cm=-2.258150577545166
  Angle 6: cl=107.78446197509766, cd=-86.71613311767578, cm=-0.9810701012611389
  Angle 7: cl=106.82707977294922, cd=-84.24880981445312, cm=0.2959560751914978
  Angle 8: cl=105.8696517944336, cd=-81.78143310546875, cm=1.5730462074279785
  Angle 9: cl=104.91230010986328, cd=-79.31410217285156, cm=2.8500924110412598
  Angle 10: cl=103.95496368408203, cd=-76.84677124023438, cm=4.127150058746338
Genotype [0.010978911103943204, 0.4373034561189194, 0.12974621271764208, -0.8735681395172858, 0.259439890818307, -0.02279692233695007, 0.06591762091682146, -0.0030175699926105574, 0.002838809369886731, 8.20116701392278, 10.914486005158963]:
  Angle -10: cl=123.07671356201172, cd=-126.16645812988281, cm=-21.419788360595703
  Angle -9: cl=122.11933135986328, cd=-123.69910430908203, cm=-20.142763137817383
  Angle -8: cl=121.16193389892578, cd=-121.23173522949219, cm=-18.865676879882812
  Angle -7: cl=120.20455169677734, cd=-118.76436614990234, cm=-17.588598251342773
  Angle -6: cl=119.2471923828125, cd=-116.29706573486328, cm=-16.31155776977539
  Angle -5: cl=118.28976440429688, cd=-113.82965850830078, cm=-15.03449535369873
  Angle -4: cl=117.33236694335938, cd=-111.36231994628906, cm=-13.757417678833008
  Angle -3: cl=116.37500762939453, cd=-108.89500427246094, cm=-12.480375289916992
  Angle -2: cl=115.4177017211914, cd=-106.42765808105469, cm=-11.203310012817383
  Angle -1: cl=114.46028900146484, cd=-103.96031951904297, cm=-9.926289558410645
  Angle 0: cl=113.50284576416016, cd=-101.49292755126953, cm=-8.649192810058594
  Angle 1: cl=112.54544067382812, cd=-99.02552795410156, cm=-7.372120380401611
  Angle 2: cl=111.58808898925781, cd=-96.5582275390625, cm=-6.095055103302002
  Angle 3: cl=110.6307144165039, cd=-94.09088897705078, cm=-4.818004131317139
  Angle 4: cl=109.6733169555664, cd=-91.62356567382812, cm=-3.540963649749756
  Angle 5: cl=108.71595764160156, cd=-89.15618133544922, cm=-2.2638888359069824
  Angle 6: cl=107.75855255126953, cd=-86.68882751464844, cm=-0.9868293404579163
  Angle 7: cl=106.80113220214844, cd=-84.2214584350586, cm=0.2902349829673767
  Angle 8: cl=105.84379577636719, cd=-81.75409698486328, cm=1.5673327445983887
  Angle 9: cl=104.88638305664062, cd=-79.28675842285156, cm=2.8443522453308105
  Angle 10: cl=103.92903900146484, cd=-76.81942749023438, cm=4.121409893035889
Genotype [0.01128523745619548, 0.43739119351025135, 0.1298694921965447, -0.8680135845631908, 0.2597445304070573, -0.022823504724831717, 0.0657712896080035, -0.003015000247826493, 0.0028483072503661566, 8.185033669006904, 10.74722309350594]:
  Angle -10: cl=123.6058349609375, cd=-126.63202667236328, cm=-21.544601440429688
  Angle -9: cl=122.64844512939453, cd=-124.16468048095703, cm=-20.267518997192383
  Angle -8: cl=121.6910171508789, cd=-121.69728088378906, cm=-18.9904842376709
  Angle -7: cl=120.7336196899414, cd=-119.2299575805664, cm=-17.713417053222656
  Angle -6: cl=119.77626037597656, cd=-116.76262664794922, cm=-16.436368942260742
  Angle -5: cl=118.81886291503906, cd=-114.2952651977539, cm=-15.159314155578613
  Angle -4: cl=117.86150360107422, cd=-111.82792663574219, cm=-13.88225269317627
  Angle -3: cl=116.90409088134766, cd=-109.36056518554688, cm=-12.60518741607666
  Angle -2: cl=115.94671630859375, cd=-106.89322662353516, cm=-11.328157424926758
  Angle -1: cl=114.98936462402344, cd=-104.42587280273438, cm=-10.051027297973633
  Angle 0: cl=114.0319595336914, cd=-101.95848083496094, cm=-8.773998260498047
